team,team_code,association,rank,previous_rank,points,previous_points,country
Uzbekistan,UZB,AFC,77,77,1309.98,1306.63,Uzbekistan
Georgia,GEO,UEFA,78,82,1307.34,1296.46,Georgia
China PR,CHN,AFC,79,78,1305.06,1305.06,China
Honduras,HON,CONCACAF,80,80,1301.98,1299.69,Honduras
Gabon,GAB,CAF,81,79,1301.84,1301.84,Gabon
Bolivia,BOL,CONMEBOL,82,81,1296.28,1298.81,Bolivia
Guinea,GUI,CAF,83,83,1290.47,1294.89,Guinea
Jordan,JOR,AFC,84,86,1289.99,1279.74,Jordan
Bahrain,BHR,AFC,85,85,1280.64,1289.25,Bahrain
Curaçao,CUW,CONCACAF,86,84,1278.64,1293.35,Curaçao
Haiti,HAI,CONCACAF,87,88,1269.07,1269.07,Haiti
Zambia,ZAM,CAF,88,87,1267.41,1270.8,Zambia
Uganda,UGA,CAF,89,90,1260.69,1264.56,Uganda
Syria,SYR,AFC,90,89,1255.92,1265.03,Syria
Benin,BEN,CAF,91,91,1247.47,1258.71,Benin
Luxembourg,LUX,UEFA,92,93,1243.8,1235.36,Luxembourg
Armenia,ARM,UEFA,93,92,1233.93,1242.42,Armenia
Palestine,PLE,AFC,94,94,1233.72,1233.72,Palestine
Kyrgyz Republic,KGZ,AFC,95,95,1230.22,1232.91,Kyrgyzstan
Vietnam,VIE,AFC,96,97,1226.65,1218.84,Vietnam
Belarus,BLR,UEFA,97,96,1221.06,1226.55,Belarus
Equatorial Guinea,EQG,CAF,98,98,1215.66,1215.33,Equatorial Guinea
Lebanon,LBN,AFC,99,100,1211.71,1211.71,Lebanon
Congo,CGO,CAF,100,99,1208.79,1215.09,Republic of Congo
Kenya,KEN,CAF,101,102,1202.26,1202.26,Kenya
Madagascar,MAD,CAF,102,105,1200.74,1193.78,Madagascar
Mauritania,MTN,CAF,103,107,1197.58,1181.86,Mauritania
Trinidad and Tobago,TRI,CONCACAF,104,101,1195.29,1205.85,Trinidad and Tobago
New Zealand,NZL,OFC,105,103,1193.98,1198.96,New Zealand
India,IND,AFC,106,104,1192.09,1198.65,India
Kosovo,KOS,UEFA,107,106,1187.01,1183.9,Kosovo
Tajikistan,TJK,AFC,108,109,1185.7,1179.1,Tajikistan
Estonia,EST,UEFA,109,110,1184.64,1177.4,Estonia
Cyprus,CYP,UEFA,110,108,1183.82,1180.52,Cyprus
Thailand,THA,AFC,111,111,1174.92,1170.69,Thailand
Kazakhstan,KAZ,UEFA,113,114,1166.63,1166.28,Kazakhstan
