,team,shots_on_target_per90,shots_on_target_pct,goals_per_shot_on_target,into_penalty_area,pct_touches_att_pen_area,xg_per90,average_shot_distance,clearances,blocked_passes,blocked_shots,dribble_tackles_pct,tackles_interceptions,errors,miscontrols,passes_pct_short,passes_pct_medium,passes_pct_long,passes_total_distance,aerials_won_pct,dispossessed
20,Poland,0.0015238095238095239,0.05319047619047619,0.047619047619047616,0.05764411027568922,0.08657742802438088,0.025807525807525808,0.198140200286123,0.14157014157014156,0.10317460317460317,0.08843537414965985,0.27666666666666667,0.12789115646258503,0.031746031746031744,0.12925170068027209,0.8589523809523809,0.7871428571428571,0.49547619047619046,0.0823610545832768,0.37385714285714283,0.05952380952380952
21,Portugal,0.011203703703703704,0.2655416666666667,0.20541666666666666,0.12719298245614033,0.10510347826469135,0.05113636363636364,0.3229613733905579,0.06531531531531531,0.1076388888888889,0.07142857142857142,0.3882083333333333,0.12023809523809524,0.041666666666666664,0.14087301587301587,0.9157916666666667,0.8524166666666666,0.630375,0.1537142555661074,0.46570833333333334,0.052083333333333336
22,Qatar,0.004177777777777778,0.1833,0.05,0.031578947368421054,0.03552286248975919,0.010664335664335665,0.175,0.05810810810810811,0.0625,0.02857142857142857,0.22164999999999999,0.08142857142857143,0.03333333333333333,0.09523809523809523,0.7692,0.7877,0.5208,0.07535612535612536,0.38765,0.04583333333333333
23,Saudi Arabia,0.003719806763285024,0.10147826086956523,0.043478260869565216,0.06407322654462243,0.10487775639883426,0.02964426877470356,0.19462586303414814,0.07873090481786135,0.09782608695652174,0.08074534161490683,0.28839130434782606,0.0968944099378882,0.014492753623188404,0.12422360248447203,0.8480434782608696,0.6523478260869565,0.43856521739130433,0.05107560180023948,0.33321739130434785,0.043478260869565216
24,Senegal,0.0061111111111111106,0.15705,0.1665,0.10263157894736841,0.13094820925412426,0.034440559440559446,0.30793991416309013,0.12972972972972974,0.11666666666666665,0.04285714285714286,0.32015,0.10571428571428572,0.016666666666666666,0.14285714285714285,0.87375,0.81585,0.48295000000000005,0.09062598923710034,0.5186,0.09375
25,Serbia,0.012262626262626263,0.1424090909090909,0.13636363636363635,0.069377990430622,0.11254585989450984,0.03814367450731087,0.24697619976589935,0.060196560196560195,0.11742424242424243,0.06493506493506494,0.45077272727272727,0.0974025974025974,0.045454545454545456,0.10606060606060605,0.8181818181818182,0.8141818181818181,0.4617272727272727,0.07498776943221387,0.45386363636363636,0.041666666666666664
26,Spain,0.006772486772486773,0.13847619047619047,0.2033333333333333,0.13533834586466165,0.11139262693995823,0.050782550782550784,0.2593500919681177,0.047619047619047616,0.10714285714285714,0.027210884353741496,0.3127142857142857,0.09795918367346938,0.047619047619047616,0.15873015873015872,0.930047619047619,0.8791904761904762,0.6483333333333333,0.23538567057085577,0.36290476190476195,0.08134920634920635
27,Switzerland,0.013407407407407408,0.14233333333333334,0.13208333333333333,0.048245614035087724,0.057856758747183025,0.0659965034965035,0.2142346208869814,0.08783783783783784,0.08333333333333333,0.06547619047619048,0.2535,0.0857142857142857,0.013888888888888888,0.10912698412698413,0.8929999999999999,0.7931666666666667,0.394125,0.09623958003587633,0.270125,0.07465277777777778
28,Tunisia,0.006084656084656084,0.15023809523809523,0.015714285714285715,0.06015037593984962,0.1272822164417517,0.02614052614052614,0.24616799509503373,0.1093951093951094,0.12698412698412698,0.06122448979591836,0.5042380952380953,0.12108843537414965,0.015873015873015872,0.11791383219954649,0.7952380952380952,0.8498571428571429,0.36904761904761907,0.07330906404980479,0.4790952380952381,0.09722222222222221
29,United States,0.005277777777777778,0.10945,0.051500000000000004,0.09473684210526315,0.17381805483222354,0.027622377622377625,0.2104077253218884,0.0891891891891892,0.16666666666666669,0.02857142857142857,0.4429,0.11000000000000001,0.0,0.17857142857142855,0.85585,0.8007,0.4448,0.127860873694207,0.48305,0.09375
30,Uruguay,0.011777777777777778,0.2531052631578947,0.035263157894736843,0.07756232686980609,0.08850450642565813,0.04766286345233714,0.26473910097131237,0.0768136557610242,0.13596491228070173,0.06015037593984962,0.30384210526315786,0.12481203007518797,0.017543859649122806,0.12781954887218044,0.8155263157894738,0.7165789473684211,0.5900000000000001,0.0851160427183819,0.4847368421052632,0.05921052631578947
31,Wales,0.0036419753086419757,0.12961111111111112,0.0,0.049707602339181284,0.07261377691105363,0.028943278943278947,0.2821888412017167,0.11711711711711713,0.12037037037037036,0.11904761904761904,0.2916666666666667,0.09682539682539681,0.05555555555555555,0.11904761904761904,0.7995,0.7707222222222222,0.5836111111111112,0.09177482325630475,0.31972222222222224,0.04861111111111111
